TransactionID,TransactionDate,BankName,CustomerID,AccountType,Branch,TransactionType,Amount,Balance,LoanFlag,RiskCategory,Channel,CustomerAge,Gender,CityTier
202502-1,2025-02-01,PNB,28070,Loan,Pune,Debit,13796,71476,Yes,Medium,Online,48,Female,Tier 3
202502-2,2025-02-02,Kotak,45777,Loan,Bangalore,Debit,30945,316955,Yes,Low,Online,36,Male,Tier 3
202502-3,2025-02-03,Yes Bank,66958,Current,Delhi,Debit,13745,177280,No,Low,Branch,61,Female,Tier 3
202502-4,2025-02-04,SBI,92074,Current,Bangalore,Debit,29624,161222,Yes,High,Online,56,Female,Tier 2
202502-5,2025-02-05,SBI,20729,Loan,Delhi,Debit,30399,81180,No,Medium,Branch,44,Male,Tier 2
202502-6,2025-02-06,Kotak,55017,Savings,Pune,Debit,44419,184358,No,Medium,Online,27,Female,Tier 2
202502-7,2025-02-07,Yes Bank,76320,Savings,Delhi,Credit,43725,122856,No,Low,Online,43,Male,Tier 3
202502-8,2025-02-08,PNB,37751,Current,Chennai,Credit,35747,340594,No,High,UPI,36,Male,Tier 3
202502-9,2025-02-09,ICICI,88069,Loan,Bangalore,Debit,29722,424568,Yes,High,Branch,56,Female,Tier 1
202502-10,2025-02-10,PNB,64748,Current,Chennai,Credit,26711,196141,No,High,Online,20,Female,Tier 1
202502-11,2025-02-11,HDFC,15801,Current,Chennai,Debit,37720,384032,No,High,Online,62,Female,Tier 1
202502-12,2025-02-12,BOB,29190,Current,Bangalore,Debit,27146,120448,No,Low,Online,30,Female,Tier 3
202502-13,2025-02-13,SBI,59689,Loan,Pune,Credit,39149,24397,Yes,Low,ATM,67,Male,Tier 2
202502-14,2025-02-14,PNB,60993,Savings,Pune,Debit,23549,444771,No,Low,Branch,45,Female,Tier 2
202502-15,2025-02-15,ICICI,39592,Current,Bangalore,Debit,14569,188031,Yes,Low,ATM,37,Female,Tier 3
202502-16,2025-02-16,Yes Bank,20647,Loan,Bangalore,Credit,33080,403944,No,High,Online,45,Female,Tier 1
202502-17,2025-02-17,Axis,18716,Current,Bangalore,Credit,32343,453733,Yes,Medium,Online,25,Male,Tier 2
202502-18,2025-02-18,Axis,98891,Current,Mumbai,Debit,3349,129180,Yes,Low,ATM,58,Female,Tier 1
202502-19,2025-02-19,Kotak,97545,Loan,Pune,Debit,40658,76234,Yes,Low,Branch,56,Male,Tier 1
202502-20,2025-02-20,Kotak,99912,Current,Delhi,Credit,23789,49954,Yes,High,UPI,18,Female,Tier 1
202502-21,2025-02-21,PNB,80316,Current,Bangalore,Debit,45190,188352,No,Low,UPI,20,Male,Tier 3
202502-22,2025-02-22,SBI,12368,Current,Bangalore,Credit,35757,89459,No,High,UPI,30,Male,Tier 1
202502-23,2025-02-23,BOB,87575,Savings,Bangalore,Debit,10323,419995,No,Medium,Online,45,Female,Tier 1
202502-24,2025-02-24,Axis,16655,Loan,Delhi,Credit,42475,205004,No,Low,Branch,66,Female,Tier 1
202502-25,2025-02-25,ICICI,80031,Savings,Pune,Credit,10040,476152,No,Medium,ATM,42,Male,Tier 2
202502-26,2025-02-26,Yes Bank,86429,Savings,Bangalore,Credit,16864,427682,Yes,Low,Online,50,Female,Tier 3
202502-27,2025-02-27,HDFC,97922,Loan,Bangalore,Debit,5111,440155,No,Medium,UPI,55,Female,Tier 2
202502-28,2025-02-28,SBI,65766,Savings,Bangalore,Debit,28163,210968,Yes,Medium,Online,23,Male,Tier 1
202502-29,2025-03-01,Axis,23403,Current,Delhi,Debit,39146,438486,No,Low,UPI,61,Male,Tier 3
202502-30,2025-03-02,SBI,42097,Savings,Delhi,Credit,31477,69163,No,Medium,UPI,62,Male,Tier 3
202502-31,2025-03-03,HDFC,88657,Loan,Mumbai,Credit,29668,485853,Yes,High,UPI,49,Male,Tier 3
202502-32,2025-03-04,PNB,20966,Loan,Chennai,Credit,49615,61934,Yes,Medium,Branch,62,Female,Tier 1
202502-33,2025-03-05,Yes Bank,62921,Loan,Mumbai,Debit,25971,205967,Yes,Low,ATM,64,Male,Tier 2
202502-34,2025-03-06,BOB,59726,Savings,Delhi,Debit,23187,435523,No,Medium,Branch,38,Male,Tier 2
202502-35,2025-03-07,HDFC,60300,Savings,Pune,Debit,1351,326242,No,Low,ATM,33,Female,Tier 1
202502-36,2025-03-08,BOB,32677,Savings,Bangalore,Credit,18571,464137,No,Low,Online,38,Female,Tier 3
202502-37,2025-03-09,PNB,65609,Loan,Mumbai,Credit,7333,15486,No,High,Online,28,Male,Tier 2
202502-38,2025-03-10,Axis,66661,Current,Chennai,Credit,12438,149407,Yes,High,ATM,54,Male,Tier 1
202502-39,2025-03-11,BOB,41024,Current,Delhi,Credit,35695,359044,Yes,Medium,ATM,53,Male,Tier 1
202502-40,2025-03-12,Yes Bank,80313,Savings,Delhi,Credit,26644,136020,No,High,ATM,52,Female,Tier 2
202502-41,2025-03-13,Yes Bank,63006,Loan,Pune,Debit,4500,112795,Yes,High,Online,36,Female,Tier 3
202502-42,2025-03-14,Kotak,25338,Current,Delhi,Credit,5552,230184,Yes,High,Online,37,Male,Tier 2
